,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
NDOR1,NDOR1,8.99248149,9.892886409,-61.04573893,0.999417422,0.999417422,-7.309781478
TXNDC9,TXNDC9,-3.93799042,-11.79384199,62.26634769,0.999417422,0.766408329,-7.979078014
ATAD3A,ATAD3A,-8.243375991,5.456165985,25.77206716,0.999417422,0.999417422,-6.62802625
RNF8,RNF8,-0.796220257,1.805161191,96.77213029,0.999417422,0.999417422,-7.169464303
PAPSS1,PAPSS1,-10.86562598,18.01947542,39.10041069,0.999417422,0.233347732,-8.013438438
FLYWCH1,FLYWCH1,15.46611627,2.777608296,-37.54680454,0.686184547,0.999417422,-7.496544684
SGCB,SGCB,9.7455756,6.026752103,100.4427353,0.933947727,0.999417422,-7.057454231
C22orf46,C22orf46,13.81640302,-1.0254365,-39.31868505,0.999417422,0.999417422,-5.546427682
IFNGR2,IFNGR2,2.326819289,14.16320359,-10.80606972,0.999417422,0.997256012,-5.841612587
PHF10,PHF10,13.94717744,10.43909623,-71.41899031,0.476845568,0.999417422,-7.1556704
C11orf54,C11orf54,-7.009987155,0.140014149,1.954737495,0.999417422,0.884957907,-7.222330156
BRCA2,BRCA2,-0.205061716,4.63842984,-47.75848198,0.999417422,0.999417422,-6.76201053
SHC1,SHC1,10.69555757,-3.188222811,-57.6415916,0.999417422,0.999417422,-6.946994446
FRY,FRY,-13.128692,9.470803583,-87.2897035,0.898561611,0.999417422,-7.131605484
POLR1B,POLR1B,-8.366437206,1.466604949,54.3779171,0.999417422,0.999417422,-7.896290869
GTF2IP20,GTF2IP20,-1.985379985,-7.400041636,-59.74144531,0.999417422,0.996118223,-7.84895992
RFX5,RFX5,-7.489621555,10.31832719,-61.11173321,0.410195495,0.999417422,-7.477274632
C14orf119,C14orf119,3.968787952,17.35521948,-15.74290973,0.979834089,0.950199051,-6.696698199
APC,APC,-2.056703506,6.37946331,-90.93496611,0.999417422,0.933963932,-7.021773875
MIR100HG,MIR100HG,-15.02009693,11.85291031,16.89000778,0.999417422,0.999417422,-7.652121663
USP13,USP13,10.0269807,-8.917100082,88.37983805,0.999417422,0.853159263,-4.481966736
NR2C2,NR2C2,8.965251899,9.778656032,-44.76151145,0.999417422,0.996118223,-6.497604404
CENPE,CENPE,-6.373138843,-10.20045935,-26.82494199,0.999417422,0.673883783,-8.17472577
ARL14EP,ARL14EP,-1.029970306,3.946680708,-56.23840122,0.999417422,0.974294963,-7.557913082
DDX50,DDX50,8.958446665,6.119862984,-30.69338013,0.999417422,0.999417422,-7.889167099
TMEM260,TMEM260,2.124207559,-7.046887288,-0.29490931,0.999417422,0.999417422,-6.796809529
DHX33,DHX33,8.143538522,16.27830641,68.69641105,0.765495745,0.999417422,-6.576618502
BLOC1S5,BLOC1S5,-3.235247779,-14.9960371,-77.93716204,0.996118223,0.30831204,-7.549170642
EPHB4,EPHB4,-1.070589254,4.419401877,83.11203192,0.999266259,0.946245899,35.98926461
DNAJA4,DNAJA4,2.697481115,3.729992775,33.19596283,0.999417422,0.999417422,-7.733718224
PRIM2,PRIM2,-9.862914431,7.700778971,-95.2639396,0.999417422,0.974294963,-8.1921111
CPEB2,CPEB2,12.87207071,16.51046352,95.82480044,0.885354345,0.999417422,-6.976009394
INTS9,INTS9,-9.816893927,11.19762784,80.59336948,0.831853243,0.968403886,-6.950024886
MAGI3,MAGI3,7.940949457,6.276904903,-38.11724063,0.999417422,0.999417422,-7.519595611
UBE2M,UBE2M,-14.98479861,-6.987712827,19.43592625,0.999417422,0.999417422,-6.328689072
TSPAN31,TSPAN31,1.978987873,3.538234572,-74.08201623,0.974294963,0.959279179,-7.721127381
NCL,NCL,8.955393103,13.81444557,-3.996143595,0.485469995,0.999417422,-7.854906627
PLXNC1,PLXNC1,6.868311092,-13.61376693,-100.7943217,0.999417422,0.999417422,-8.219815002
TCAF2,TCAF2,-10.76084627,-3.210128044,-8.958559061,0.999417422,0.999417422,-5.72177433
C10orf25,C10orf25,14.94913481,13.38505382,-64.79287538,0.570172076,0.974294963,-7.26556234
TAF12,TAF12,-8.037013302,-2.405471423,75.83161422,0.999417422,0.996118223,-5.902974524
ZNF700,ZNF700,10.98367161,-2.816414406,66.78797124,0.715227206,0.999417422,-6.949874148
THOC1,THOC1,-8.01518288,16.57233176,-21.20194927,0.949234411,0.999417422,-7.811977296
METTL13,METTL13,-0.092011341,0.624018752,14.75839586,0.997256012,0.990228774,-7.927818515
COX8A,COX8A,-1.975221127,4.524228011,54.10417392,0.927612013,0.999417422,-6.604297702
PQLC1,PQLC1,4.029225285,13.78174438,41.4551486,0.472308443,0.996118223,-6.426079997
AKAP7,AKAP7,6.845062464,-2.663203776,71.91085389,0.999417422,0.999417422,-7.341142116
DCTN6,DCTN6,3.947022492,-7.033920197,0.49486302,0.778580401,0.999417422,-6.568755375
COG8,COG8,13.91865771,-8.519049132,52.52648529,0.999417422,0.999417422,-7.194151557
BRAP,BRAP,-12.02779286,-2.894087589,23.44915691,0.278193085,0.371959068,-7.806320671
RFXANK,RFXANK,12.90803574,14.52469526,-1.980752225,0.999417422,0.339085796,-7.308172675
PYGO2,PYGO2,12.97321309,7.963424539,-58.33236699,0.999417422,0.996118223,-6.025416363
RF00004,RF00004,-7.123744247,10.66907588,50.3742554,0.149143119,0.247163243,-6.183237981
WFDC1,WFDC1,0.75259629,10.73538515,18.68540271,0.996118223,0.999417422,-6.001926526
TBC1D23,TBC1D23,13.00047502,-0.694166807,28.00269955,0.999417422,0.996118223,-7.863692065
VPS54,VPS54,-1.196918696,6.250846908,55.54435309,0.999417422,0.847605337,-7.644510186
UNC119,UNC119,-7.97384375,2.20579437,87.24738165,0.974294963,0.996118223,-7.362174543
MYO1E,MYO1E,7.917605729,3.689729335,40.27105099,0.999417422,0.972312479,-7.364195586
PDE3A,PDE3A,-0.712325994,4.697492246,25.70721353,0.999417422,0.999417422,-6.103739606
CCDC25,CCDC25,4.098357319,-2.992015327,87.46321698,0.999417422,0.999417422,-6.995346462
ARAF,ARAF,-0.071431549,10.346678,56.81195527,0.999417422,0.739311428,-4.10676633
POLR2K,POLR2K,4.424503491,-13.48789023,31.52444825,0.985003878,0.999417422,-7.992010812
TRIM35,TRIM35,-4.940376878,2.031650507,100.1871721,0.999417422,0.999417422,-7.475301362
CLMP,CLMP,-14.87417293,0.50661799,-70.17813298,0.999417422,0.999417422,-6.803396183
SH3BP5-AS1,SH3BP5-AS1,5.380930361,11.09479255,4.24183591,0.999417422,0.999417422,-5.806776068
DPH1,DPH1,10.88081757,-9.082426074,25.48818011,0.999417422,0.999417422,-7.508001559
CSNK1G2,CSNK1G2,-11.0231395,13.81427814,21.53392292,0.999417422,0.999370968,-7.77612203
DEAF1,DEAF1,-14.79050618,10.41417039,54.05637807,0.913859321,0.999417422,-7.31125209
FARSB,FARSB,-1.94070713,-6.976260763,-82.50090814,0.999417422,0.999417422,-6.730647144
KLHL2,KLHL2,-14.91342922,-12.23439058,-31.61499305,0.999417422,0.999417422,-4.42359671
PLXNA2,PLXNA2,0.027909422,-9.052987771,-23.58944957,0.831853243,0.999417422,-6.991591642
COL4A5,COL4A5,0.089066083,4.489053635,94.52936806,0.999417422,0.831682472,-7.791781973
NDUFS5,NDUFS5,-11.15633931,18.6312409,-73.2453319,0.995333126,0.951461574,-5.817219048
CPSF2,CPSF2,1.130180466,-8.01639534,-62.44982042,0.673883783,0.999417422,-6.671666698
LZTS1,LZTS1,13.01825894,8.453083197,39.36175213,0.999417422,0.886273443,-7.609732047
HIST2H3A,HIST2H3A,-8.888950186,14.6143087,16.66409309,0.30831204,0.999417422,-7.33691592
ZNF776,ZNF776,10.07683145,-3.784697564,10.90348926,0.999417422,0.999417422,-6.976869415
GPHN,GPHN,-10.09613938,-5.034381403,-61.71598567,0.999723996,0.95758307,-8.044975786
ZNF677,ZNF677,-4.095501625,11.97942106,-20.65369872,0.873492614,0.999417422,-7.476435936
E2F8,E2F8,2.807439498,10.63240094,-45.378245,0.999417422,0.953646318,-7.26352569
RPL3P4,RPL3P4,-1.040201298,-4.488464138,-55.68181118,0.673883783,0.974785382,-6.931387969
FBXO8,FBXO8,-12.05077698,-1.041834709,35.71507543,0.222260098,0.971700151,-6.485429264
B4GALT3,B4GALT3,-10.14093557,-7.362542857,-57.0571355,0.999417422,0.999417422,-7.595717411
AKR7A2,AKR7A2,-11.93784903,-1.734750981,-42.26234953,0.999417422,0.959279179,-6.962542263
AC022150.4,AC022150.4,-10.28535366,-12.49872081,-20.41820091,0.978541576,0.968403886,-7.87158428
ATP8B2,ATP8B2,2.911517398,20.37096662,-8.158488346,0.999417422,0.999417422,-8.006003069
PHF11,PHF11,-3.922678753,-4.5763516,-1.962823582,0.999417422,2.36E-31,-7.743770551
ATRIP,ATRIP,10.93136858,2.070250429,-49.447014,0.999266259,0.999417422,-7.602534571
SRCIN1,SRCIN1,-12.15403119,-4.987434333,-7.818403539,0.641332065,0.996118223,-7.652964947
JHY,JHY,-5.107484534,16.26298746,46.70799285,0.999417422,0.38433052,-6.608958943
ZNF271P,ZNF271P,-0.994654857,9.686628549,-13.97631625,0.62143936,0.942949813,-6.81226476
ZRANB1,ZRANB1,4.021347653,-8.061559041,-66.86219067,0.999417422,0.997256012,-7.973779691
PLBD2,PLBD2,9.216013974,-3.346589663,-45.18805745,2.36E-31,0.996118223,-7.845457989
DEF8,DEF8,-6.940917096,-4.65229381,-59.32128642,0.999417422,0.915356152,-7.036454489
SEPSECS,SEPSECS,7.12928175,3.824471604,29.50257795,0.999417422,0.999417422,-6.967743973
PPP2R2A,PPP2R2A,15.03341682,-13.72512503,-33.72075622,0.999417422,0.473194858,-6.776771167
C9orf3,C9orf3,-1.127027489,-0.225958501,-30.03569905,0.993995976,0.999417422,-6.493784171
WRN,WRN,-10.35636915,-8.649889054,37.15789911,0.861692847,0.999417422,-7.807102655
RHOA,RHOA,0.818923363,-11.90057554,80.31099361,0.777030264,0.978780472,-5.8700199
PCNP,PCNP,7.962320594,19.35150313,-92.89952964,0.999417422,0.999417422,-6.956508346
VNN3,VNN3,6.922184392,0.292231611,47.40512723,0.854599372,0.999417422,-6.575049376
GEMIN4,GEMIN4,-14.75354215,12.57059289,-3.258975729,0.999417422,0.866177092,-7.921680507
AL663070.1,AL663070.1,-8.904972487,7.285252863,-73.26924861,0.999417422,0.720160598,-4.975337858
GUCY1A1,GUCY1A1,-4.938137399,-1.786850045,6.23925913,0.999417422,0.93574385,-6.113299711
AKNA,AKNA,11.71528839,2.750412113,81.48190732,0.999417422,0.969808027,-7.683709814
EPAS1,EPAS1,12.22671083,-5.560097929,75.2738936,0.999417422,0.996118223,-6.378842407
NPC2,NPC2,-5.100261112,0.412674145,41.45414607,0.999417422,0.999417422,-6.780087744
NT5C3A,NT5C3A,-2.927918482,1.608743994,87.48293807,0.959279179,0.999417422,-6.387082406
PEX16,PEX16,-13.99156857,-7.986627186,-72.87071322,0.999417422,0.999417422,-5.555696583
UQCC2,UQCC2,13.98702499,13.23037661,-52.05125682,0.931085402,0.999417422,-6.790503612
TAOK1,TAOK1,-13.20238023,9.933246634,98.22682381,0.938187798,0.999417422,-7.915200984
WWP2,WWP2,7.130460761,-13.10223367,26.6656367,0.999417422,0.974294963,-6.982867491
ZBTB5,ZBTB5,10.03298249,19.42359849,-54.42381477,0.673958914,0.999417422,-7.489025848
NFS1,NFS1,14.9231835,-11.80993642,-76.28877061,0.907435125,0.927612013,-7.066290252
CPSF4,CPSF4,14.90522874,3.932169621,-81.06718868,0.999417422,0.912870561,-5.015333273
DUS3L,DUS3L,-9.989227271,1.377704967,-0.944972792,0.990228774,0.974606795,-7.289659034
KLHL7,KLHL7,1.007311354,-4.473300815,-57.87747715,0.723411008,0.999417422,-6.339160937
MFN2,MFN2,-1.870257794,5.329355002,16.76152466,0.999417422,0.968403886,-7.849998248
DPM2,DPM2,8.954698602,0.293628702,-83.9511879,0.999417422,0.997510986,-6.618423029
ZNF283,ZNF283,11.99877816,6.036660116,-20.02590036,0.999417422,0.519846734,-6.543842573
ILK,ILK,-10.98440968,-2.322110908,70.24779417,0.638891057,0.831853243,-5.549228856
ZBTB8OS,ZBTB8OS,-15.13903776,18.53298298,29.78946818,0.837120168,0.996118223,-7.73709977
ZNF496,ZNF496,1.078372607,6.593758165,-96.53394947,0.999417422,0.999417422,-6.115657481
C19orf25,C19orf25,5.065900896,17.64545626,-54.38159681,0.999417422,0.999417422,-8.16267654
RMI2,RMI2,-1.259212577,-13.75271423,28.00019895,0.999417422,0.94368594,-6.641700743
ZNF600,ZNF600,-4.876084641,5.119202059,-83.35565924,0.152891512,0.999417422,-8.196156995
IRAK3,IRAK3,4.88999495,13.43955939,61.39382232,0.999417422,0.996351788,-7.070550022
MANSC1,MANSC1,-14.91194916,-9.814284844,-26.69608873,0.999417422,0.997256012,-8.146110312
ARHGEF35,ARHGEF35,8.183626682,-1.425415209,10.83787939,0.999417422,0.933010692,-6.851784931
PIGU,PIGU,10.93615802,7.028577741,34.07835327,0.905116779,0.996118223,-4.570483497
SNX27,SNX27,7.047228407,3.666420322,-41.8434769,0.974606795,0.999417422,-6.366385825
SPARC,SPARC,-4.051495464,-7.794400433,-6.253380125,0.751778189,0.999417422,-6.981607849
PCLO,PCLO,-5.343789835,-3.926027348,36.88566279,0.884957907,0.996118223,-7.317191512
EML2,EML2,12.99444014,8.476486481,-33.12643919,0.974294963,0.993863613,-7.532885986
HARS2,HARS2,-1.927683821,-8.264399542,-24.49768598,0.999417422,0.93574385,-7.324282541
KIFC2,KIFC2,-13.86459203,8.996580311,51.76952874,0.999417422,0.996118223,-7.093254546
TANGO6,TANGO6,-14.85472995,-6.288292977,72.39918191,0.999417422,0.999417422,-6.98932641
TP53RK,TP53RK,9.869336742,-1.911731405,21.77561203,0.94368594,0.999417422,-6.740022614
PAIP1,PAIP1,-0.710415361,14.68516256,-67.73827892,0.997485715,0.999417422,-8.100074877
RPS5,RPS5,1.989813397,-5.060396519,-83.34511272,0.999417422,0.996118223,-5.415952456
ALG9,ALG9,1.868924763,13.2446563,-7.804232033,0.999417422,0.875786304,-6.976692264
FADD,FADD,-12.08811954,10.37624596,58.48041829,0.589956856,0.999417422,-7.740126334
NSF,NSF,-9.939805595,-3.665803064,-38.62609619,0.999417422,0.999266259,-6.894088907
PDLIM2,PDLIM2,-9.039526943,-5.601685803,44.70930765,0.999417422,0.999417422,-6.012777963
MAGOH,MAGOH,-5.850867967,11.48744937,97.33956149,0.999417422,0.999417422,-6.932725063
NAAA,NAAA,6.054510235,12.57468171,45.30690167,0.996118223,0.996118223,-0.8453391
ZBTB18,ZBTB18,-11.73916221,-14.93862456,94.51485144,0.915712032,0.999417422,-7.744288857
CTSA,CTSA,6.999664696,-12.19512866,-78.00382333,0.948493134,0.997256012,-7.034051806
GABPA,GABPA,-4.623755697,16.75159296,53.49740919,0.61133324,0.999417422,-7.018055654
SMPD2,SMPD2,-0.043714602,2.582905511,80.88086144,0.999417422,0.918145915,-6.939953388
TGS1,TGS1,-6.837058613,6.229625907,10.40072571,0.999417422,0.999417422,-7.961485945
SIK1B,SIK1B,14.90642384,17.90727223,-3.735578936,0.999417422,0.815712478,-6.485349448
PRKG1,PRKG1,2.187268694,-2.947761052,-55.23766294,0.999417422,0.999417422,-6.77884871
TBPL1,TBPL1,-14.98357568,18.29150445,28.40118134,0.999266259,0.915713739,-7.446268521
FLCN,FLCN,-5.955440712,-6.53972872,17.42560358,0.999417422,0.999417422,-6.986879228
SLC1A2,SLC1A2,12.04788482,17.72734123,3.336590221,0.83509663,0.999417422,-6.386698924
ST3GAL1,ST3GAL1,-7.03200275,8.792759259,-60.65037558,0.938146052,0.721934649,-7.117017143
KREMEN1,KREMEN1,-3.942213036,20.86953691,31.72588814,0.999417422,0.999417422,-7.195604913
HIST2H3C,HIST2H3C,-2.005343358,-3.650622072,-9.053716743,0.999417422,0.999417422,-7.052494672
ZNF514,ZNF514,9.265132305,13.73252749,-26.90635328,0.999417422,0.999417422,-7.020343298
CTNNA1,CTNNA1,-8.951454432,-4.575403819,-64.52571748,0.905562985,0.999417422,-7.044788489
TMEM208,TMEM208,0.929715071,-8.831543492,52.53284924,0.999417422,0.978541576,-7.369752267
POMP,POMP,-1.03291192,-11.61110402,-18.11243147,0.956466284,0.93574385,-7.767234136
TOE1,TOE1,-5.019073258,17.45533933,74.838477,0.52064173,0.924519941,-7.841414905
COG3,COG3,8.029013627,4.993101838,-35.82887391,0.974294963,0.915712032,-7.695591365
ATG13,ATG13,-3.070107168,1.896457685,6.591703689,0.999417422,0.990228774,-6.536329551
CASP10,CASP10,-10.1604569,18.20100971,8.248845415,0.866718115,0.999417422,-7.250878798
MRPL28,MRPL28,5.580329909,9.436168964,-20.94642249,0.934160962,0.999417422,-7.173727657
PCDHGB5,PCDHGB5,-2.95596163,0.792008018,-87.74044066,0.999417422,0.984293412,-7.16025834
KPNA6,KPNA6,5.990447399,18.20960139,-64.06144205,0.999417422,0.999417422,-7.54900024
TUBG2,TUBG2,3.098160025,-1.901657112,-72.30775792,0.806577322,0.999417422,-8.02194445
PHAX,PHAX,11.96036055,-6.600032963,-79.95429513,0.999417422,0.999417422,-7.157547999
CPD,CPD,14.99425096,18.88277269,-50.06599002,0.83509663,0.999417422,-7.838426705
HNRNPA1P22,HNRNPA1P22,-11.13744873,7.284013728,-70.85729005,0.996118223,0.999417422,-7.087421704
VPS4A,VPS4A,4.938963342,-8.287280989,-44.04468354,0.999417422,0.950199051,-6.838271636
DNAJC30,DNAJC30,-1.031445843,0.433926581,16.40454913,0.999417422,0.999417422,-7.391858392
LINC01003,LINC01003,-5.953495463,3.336985932,1.451031718,0.999266259,0.996118223,-7.88727359
WDR24,WDR24,-3.087748357,-4.095533285,65.10306398,0.999417422,0.999417422,-7.102119969
MYH10,MYH10,-1.046076102,-5.623279199,-36.25285441,0.999417422,0.999417422,-6.134844192
SEC61A1,SEC61A1,-3.980633761,-5.86792534,-51.88046187,0.873492614,0.999417422,-7.925859286
PLEKHA2,PLEKHA2,5.005376308,-7.577025377,-18.92941954,0.999417422,0.999417422,-6.809845954
GTF2IP12,GTF2IP12,-2.168837417,14.42992558,15.43048572,0.969808027,0.999417422,-6.946218421
SH3BGRL,SH3BGRL,11.96200342,-2.16958344,13.44860842,0.262053273,0.999417422,-7.910730644
ZCCHC24,ZCCHC24,5.869449657,4.480465033,-41.59208954,0.999417422,0.526921222,-7.510854312
TMEM41A,TMEM41A,-14.98780595,13.87276142,46.04773763,0.973871735,0.83505899,-6.51447756
ZFP3,ZFP3,-14.97177968,-6.475659933,-33.577648,0.999417422,0.996118223,-6.021835845
TBCD,TBCD,-2.850418335,7.723040292,-14.63002611,0.999417422,0.999417422,-6.778824765
VAV3,VAV3,4.953888783,1.062268456,-60.45541778,0.999417422,0.968277004,-6.803706325
ZNF525,ZNF525,-2.356099796,14.17349738,-98.93792152,0.864324537,0.999417422,-6.637827433
PNP,PNP,10.26732664,2.27726881,-94.8664735,0.872340746,0.98650474,-7.642118132
ESD,ESD,7.031936877,6.38548189,30.22285337,0.996118223,0.999417422,-7.26566924
FCHSD1,FCHSD1,10.74843578,20.15412357,22.88570835,0.999417422,0.999417422,-7.446100997
XPO7,XPO7,-0.032202591,17.33076856,-91.50425832,0.999417422,0.992599342,-6.900606123
FKBP14,FKBP14,-4.916905162,2.024908668,-74.4410844,0.984994828,0.973871735,-6.569349801
TRAPPC13,TRAPPC13,-9.054709978,6.483680622,16.5806585,0.999417422,0.996480015,-7.859207497
LINC01578,LINC01578,-3.064103157,20.50675444,86.12517709,0.900481203,0.999417422,-5.964242083
APAF1,APAF1,-11.94371918,14.08209967,-63.59308754,0.999417422,0.702937227,-8.207099165
PRMT5,PRMT5,-10.00589232,-8.465193208,-34.04726245,0.999417422,0.999417422,-8.162181664
RAB6A,RAB6A,7.494804537,-12.81213755,56.31873969,0.999417422,0.884957907,-7.709332574
HDGFL2,HDGFL2,13.97103606,-4.389596406,-39.47000747,0.999417422,0.95758307,-6.471699355
AMZ2,AMZ2,-2.894784626,2.274078587,-0.414209721,0.914381896,0.999417422,-5.242301674
VWA8,VWA8,-9.724631287,-11.34177956,86.40092616,0.999417422,0.873492614,-6.854010127
FASTKD5,FASTKD5,9.080262983,9.349904924,-39.69356761,0.999417422,0.974606795,-7.168248305
METTL2A,METTL2A,-11.93276039,-2.308219814,62.30699494,0.782222027,0.999417422,-7.246446403
LINC00265,LINC00265,1.64553112,-7.964347027,-24.31851441,0.954084116,0.999417422,-7.317669124
CYFIP1,CYFIP1,0.111600008,-7.676064269,78.8316091,0.999417422,0.999417422,-6.484670437
LIFR,LIFR,8.009882067,16.65368545,-24.84675709,0.999417422,0.999723996,-7.726827366
EEF1A1P5,EEF1A1P5,-1.180409804,-15.37945907,70.60620624,0.999417422,0.98650474,-6.707288515
C20orf194,C20orf194,11.15974333,-5.661129134,5.935192646,0.999417422,0.884957907,-7.180978562
PXYLP1,PXYLP1,4.936540637,4.960524206,30.7164052,0.999417422,0.999417422,-7.627627967
SLC26A11,SLC26A11,1.977033407,-4.50804179,-52.15887355,0.999417422,0.999417422,-8.132601961
GTF2H1,GTF2H1,9.068521449,0.703925703,69.45495089,0.999417422,0.957549322,-5.798609682
TULP3,TULP3,-5.01164186,11.65099992,-77.27114675,0.999417422,0.999417422,-7.00004968
CHCHD2,CHCHD2,-5.879183339,6.274408961,10.17881349,0.999417422,0.999417422,-7.832169005
THBS3,THBS3,5.002932819,2.86833071,-25.93399645,0.821750497,0.999417422,-6.742190533
ITM2C,ITM2C,-10.01326178,15.21670013,-40.08144488,0.838788318,0.984994828,-6.800313612
TACC3,TACC3,-4.897827977,-5.597710166,56.18820005,0.999417422,0.999417422,-3.924424459
PNKD,PNKD,14.08338345,13.32651171,32.72162907,0.999417422,0.530858618,-7.890660097
EIF1B,EIF1B,-8.153173846,-10.39385487,12.1746836,0.999417422,0.999417422,-7.900459744
HIST2H2BC,HIST2H2BC,6.023470249,-1.754609364,-85.84847533,0.999417422,0.999417422,-6.176163051
CCM2,CCM2,-12.01307432,17.85929105,70.74360822,0.996118223,0.974785382,-7.836530763
ASAP2,ASAP2,11.21195395,3.954503744,-30.18056109,0.999417422,0.765561724,-7.346975131
ANXA8,ANXA8,14.77987844,-16.22918076,23.791625,0.999417422,0.999417422,-7.236501415
PALM,PALM,9.923718136,12.98833262,75.30377031,0.993995976,0.999417422,-2.843404822
THAP7,THAP7,-10.03838308,12.3645969,84.49936184,0.999417422,0.999417422,-7.040219956
ARL16,ARL16,3.221661078,8.994751191,-24.88862199,0.999417422,0.984106953,-6.986954293
CCDC124,CCDC124,-9.955036153,-4.607349787,8.818388524,0.999417422,0.968999358,-8.19787358
FAM184A,FAM184A,-15.01449045,4.581332103,15.77154515,0.999417422,0.931377155,-6.254237293
USP54,USP54,3.050237874,14.29591244,-10.70152027,0.993995976,0.967733957,-7.392959101
CRAT,CRAT,10.76770259,8.950451895,75.34141222,0.999417422,0.999417422,-8.142408828
SPATA5,SPATA5,5.826485233,16.71667295,34.19252448,0.662270629,0.999417422,-6.15409608
WASHC1,WASHC1,-15.01705999,18.81592047,72.7253632,0.967950774,0.999417422,-6.738184186
NDUFC2,NDUFC2,12.12468627,-0.540370682,-64.7258029,0.999417422,0.999417422,-7.968654886
AC005332.6,AC005332.6,-5.063581393,13.82769568,51.75381639,0.999417422,0.931831176,-5.855400342
NDUFS6,NDUFS6,-5.163388751,-7.528796672,-34.05425482,0.999417422,0.93574385,-7.406633462
RNF34,RNF34,-2.005450449,-8.556052817,-21.07305058,0.875786304,0.981212953,-8.009280376
USP45,USP45,-5.959613722,0.988963913,84.14577708,0.996118223,0.990228774,-7.089602192
NDUFA2,NDUFA2,10.59181533,13.60407165,-83.52506506,0.993995976,0.999417422,-8.214069167
PCDHGC3,PCDHGC3,-9.466232891,4.699793998,-67.6185797,0.999266259,0.999417422,-7.52259379
FCF1,FCF1,11.87990516,7.239488289,-87.81400018,0.999417422,0.993863613,-8.116739777
RAMAC,RAMAC,0.03166984,-3.556122705,-56.37243235,0.999417422,0.675455504,-7.462933808
IQCB1,IQCB1,10.99578132,-4.062966356,-98.02228699,0.996118223,0.590607271,-8.089445911
NIPA2,NIPA2,6.910725061,-14.70723709,-83.32279954,0.884957907,0.996118223,-6.768087844
DNAJC9,DNAJC9,1.91315524,18.78980415,14.44951134,0.999417422,0.999417422,-6.133127527
LINC02037,LINC02037,-3.30791573,-3.197420178,-13.96580928,0.999417422,0.999417422,-8.005538844
AL157392.3,AL157392.3,-5.961028811,8.636541994,-79.6642798,0.957549322,0.999417422,-7.264984927
SNU13,SNU13,1.169809411,15.18603955,-52.57198866,0.884957907,0.999417422,-7.953254991
SMARCC2,SMARCC2,-8.185461193,-9.163609025,-91.10836408,0.996118223,0.996118223,-7.4582538
MSRB3,MSRB3,7.98525542,-9.387489098,83.92356916,0.967733957,0.999417422,-7.267036692
GAS2L3,GAS2L3,-13.06248401,-10.2156918,-90.46588143,0.997510986,0.999417422,-6.927099301
RASSF1,RASSF1,0.043739135,-10.65931033,11.19572383,0.999417422,0.804899803,-7.858148269
SPCS2P4,SPCS2P4,-6.939717427,-4.966598398,47.29175884,0.93574385,0.999417422,-6.461383634
FASTKD1,FASTKD1,5.082841341,0.097590656,-12.51938543,0.999417422,0.848386466,-7.94999778
GRIPAP1,GRIPAP1,-14.02784686,-1.280385153,29.64202501,0.953646318,0.999417422,-7.135745881
STARD9,STARD9,-14.13895471,12.21460298,-79.76618073,0.974606795,0.999417422,-6.555980722
TAF13,TAF13,-13.69652452,-2.873680191,-33.90915364,0.996118223,0.999417422,-6.893380077
FIP1L1,FIP1L1,-0.859955922,9.10504293,21.2337091,0.999417422,0.999417422,-7.587134155
ITFG2,ITFG2,11.99493185,-2.180837694,-40.06964832,0.999417422,0.884957907,-8.014827697
IGF2,IGF2,-13.36480668,-4.933655701,92.27216891,0.9619653,0.999417422,-6.817639529
SEC31A,SEC31A,12.05048276,-6.241930168,-15.68659087,0.85088828,0.43548898,-6.935051944
AC093535.2,AC093535.2,1.073085734,11.2692796,40.88468903,0.999417422,0.999417422,-7.974780109
SNAP47,SNAP47,-11.72544097,-9.033027935,-81.82526804,0.999417422,0.999417422,-7.040376628
CYTH4,CYTH4,-12.7605565,-10.74714028,47.91498391,0.999417422,0.996118223,-6.204951486
NDUFA11,NDUFA11,3.932456211,-11.80695208,-9.40306612,0.109683515,0.410195495,-6.640988134
DERL1,DERL1,7.10901562,-11.71407378,79.05167792,0.999417422,0.999417422,-6.450226015
OTUB1,OTUB1,-9.225054162,10.37045703,-20.59284608,0.999417422,0.999417422,-4.778071835
NKAPD1,NKAPD1,-9.021609909,16.17265968,18.86447549,0.999417422,0.996118223,-7.03363293
TRAF6,TRAF6,9.934229303,15.48658907,-54.73407959,0.999417422,0.997256012,-6.562456548
ZNF720,ZNF720,-1.947707545,14.77076446,51.49930118,0.999417422,0.750122638,-7.109143625
PRCC,PRCC,-13.09767166,15.1427538,-69.06725084,0.999417422,0.990228774,-7.320328004
RNPS1,RNPS1,4.068168605,1.063401418,51.2932936,0.999417422,0.999417422,-7.687453546
SCRN3,SCRN3,3.714094516,-13.71637121,93.6005304,0.998681084,0.999417422,-6.942165635
SHMT2,SHMT2,9.984230879,1.865296741,-26.13622419,0.999417422,0.917589597,-8.217034294
DENND3,DENND3,-2.036103267,1.087873597,-32.37614044,0.999417422,0.999417422,-6.569003835
ANAPC16,ANAPC16,-12.88400791,13.74403136,-14.23675392,0.999417422,0.974294963,-7.926037748
PROSER2-AS1,PROSER2-AS1,-1.161672615,16.487589,-4.593227,0.999417422,0.999417422,-7.538335132
